id,name,story
---------,------,---------------(Pack 100 / Normal)
--Witch--,------,---------------
910031202,謐藍的法術,讓瑪那滿溢身體，並不是精靈的專利。
---------,------,---------------(Pack 101 / Normal)
110101101,和平的促進者,這塊碎片是和平的基石，[ENDL]總有一天，將會引導和平到來────[ENDL]祝您擁有平順的未來。
110101104,虛無的魔獸,從虛空裂縫中湧現的魔獸，[ENDL]沒有人知道牠們如何誕生，[ENDL]但所有人都知道牠們的帶來的破壞和蹂躪。
110101201,命運之手,天有不測風雲，人有旦夕禍福。
110102301,虛無的牽引,虛空中的能量會牽引萬物，將它們吞噬至裂縫之中。[ENDL]沒有人知道裂縫的另一邊是什麼，因為從未有人從另一側返回。
110103201,進化的光輝,進化是勝利的關鍵！
110104103,威嚴騎士長‧維克諾德,儀容係騎士之基礎，係軍紀之根本。[ENDL]容貌邋遢、服儀不整，有損騎士之道！[ENDL]正經威嚴、莊嚴肅穆，方能壯我軍威！[ENDL]        ────維克諾德對於「威嚴」的應答
910104301,騎士長的勝利之劍,他從不輕易出劍，一旦揮出就會是勝利的致命一擊。
910104302,騎士長的不敗之盾,他從未露出破綻，這面盾牌永遠是不可逾越的防線。
--Witch--,------,---------------
110131101,實驗採購助手,採購清單：[ENDL]★實驗用土壤[ENDL]★魔力水[ENDL]★曼德拉草
110131103,新手預言者,「一分鐘後，就過了六十秒。」「哇喔！」[ENDL]「喝過水的人最後都會死。」「哇喔！」[ENDL]「如果你舉起武器，那你就拿著武器。」「哇喔！」[ENDL]        ────新手預言者與其擁護者。
110131203,與煉金科的交涉,「糖、香料，還有化學物X……你拿這些東西是要製造什麼？」[ENDL]「小女孩。」[ENDL]「……我越來越接近電話囉。」[ENDL]        ────煉金科辦公室內的對話
110131204,星辰漣漪,只要輕輕一點，整個宇宙都為之震盪。
110131205,古文物探勘,為了尋求值得之物，[ENDL]未來的智慧窮盡所能，[ENDL]全心埋首於過往的智慧。[ENDL]        ────考古學家的手稿〈II〉
